idno,netustm,ppltrst,vote,prtvtddk,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
97834,,7.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1972,40,Female,1950,Folkeskole 6.-8. klasse,8.0,30.0,30,,,35.0
97851,122.0,8.0,Yes,Det Konservative Folkeparti - Conservative People's Party,1967,,Male,1948,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19.0,0.0,0,0.0,,71.0
98187,120.0,7.0,Not eligible to vote,,2014,60,Male,1997,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",13.0,40.0,40,22000.0,,54.0
98275,240.0,8.0,Yes,Enhedslisten - Unity List - The Red-Green Alliance,1979,,Male,1958,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19.0,37.0,44,50000.0,,58.0
98385,210.0,8.0,Not eligible to vote,,"Still in parental home, never left 2 months",Never too young,Male,2003,Folkeskole 6.-8. klasse,9.0,4.0,4,,,43.0
98445,120.0,7.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",2013,62,Male,1986,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17.0,,60,,,52.0
98562,,4.0,Yes,Socialdemokratiet - The Social democrats,2011,18,Female,1995,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",10.0,12.0,12,,,41.0
98904,300.0,7.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",2005,,Male,1982,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14.0,38.0,38,33000.0,,50.0
98943,45.0,9.0,Yes,Dansk Folkeparti - Danish People's Party,1969,50,Male,1954,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",20.0,,84,,,113.0
98975,,3.0,Yes,Dansk Folkeparti - Danish People's Party,1957,60,Male,1941,Folkeskole 9.-10. klasse,17.0,28.0,28,,,159.0
98988,240.0,7.0,Yes,Other,1999,69,Female,1983,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13.0,37.0,40,28000.0,31000.0,57.0
99001,60.0,6.0,Yes,Alternativet - The Alternative,1990,58,Female,1973,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",17.0,37.0,42,29000.0,,78.0
99023,330.0,7.0,Yes,Enhedslisten - Unity List - The Red-Green Alliance,2016,Never too young,Female,1996,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",15.0,5.0,5,,,70.0
99036,183.0,7.0,Yes,,2014,68,Male,1991,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14.0,36.0,36,34000.0,,65.0
99037,60.0,3.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1973,50,Male,1953,Folkeskole 9.-10. klasse,10.0,37.0,50,33000.0,,43.0
99107,60.0,7.0,Yes,,1961,65,Female,1944,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",6.0,37.0,50,,,63.0
99141,150.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1998,Never too young,Male,1976,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",3.0,30.0,34,,,66.0
99181,,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1973,49,Male,1958,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11.0,12.0,12,28000.0,,54.0
99198,60.0,7.0,Yes,Dansk Folkeparti - Danish People's Party,1965,55,Male,1945,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14.0,40.0,40,,,67.0
99250,300.0,6.0,Yes,Liberal Alliance - Liberal Alliance,2017,60,Female,1997,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",12.0,37.0,48,20000.0,,57.0
99306,180.0,4.0,Yes,Enhedslisten - Unity List - The Red-Green Alliance,2017,50,Male,1996,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",14.0,15.0,25,,,52.0
99309,15.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1960,65,Female,1942,Folkeskole 6.-8. klasse,7.0,37.0,39,,,80.0
99391,120.0,5.0,Yes,Dansk Folkeparti - Danish People's Party,1994,60,Female,1976,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",17.0,12.0,12,18800.0,25000.0,37.0
99431,120.0,8.0,Yes,Socialdemokratiet - The Social democrats,1978,60,Female,1960,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",11.0,29.0,29,2500.0,,76.0
99485,60.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1972,Never too young,Female,1954,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14.0,37.0,40,,,63.0
99486,,6.0,Yes,Socialdemokratiet - The Social democrats,1969,65,Male,1951,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14.0,28.0,28,,,96.0
99681,390.0,8.0,No,,2009,65,Male,1990,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",14.0,37.0,37,,,72.0
99685,122.0,8.0,Yes,Det Konservative Folkeparti - Conservative People's Party,1953,,Male,1934,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",20.0,37.0,50,,,64.0
99887,600.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1991,60,Male,1973,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17.0,37.0,37,40000.0,,63.0
99957,180.0,9.0,No,,"Still in parental home, never left 2 months",65,Male,1998,Folkeskole 9.-10. klasse,13.0,37.0,37,11000.0,,61.0
99970,180.0,9.0,Yes,Enhedslisten - Unity List - The Red-Green Alliance,1990,60,Male,1975,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14.0,37.0,38,40000.0,,43.0
100133,60.0,9.0,Yes,Socialdemokratiet - The Social democrats,1963,60,Female,1949,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14.0,37.0,37,,,71.0
100241,120.0,7.0,Not eligible to vote,,1978,60,Female,1957,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15.0,37.0,45,33000.0,,64.0
100320,45.0,7.0,Yes,Enhedslisten - Unity List - The Red-Green Alliance,1962,Never too young,Male,1946,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15.0,37.0,42,,,73.0
100325,180.0,4.0,Yes,SF Socialistisk Folkeparti - Socialist People's Party,2001,,Female,1984,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15.0,30.0,30,24500.0,,67.0
100392,120.0,7.0,Yes,Enhedslisten - Unity List - The Red-Green Alliance,2010,70,Male,1988,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19.0,37.0,37,,,68.0
100428,420.0,8.0,Yes,SF Socialistisk Folkeparti - Socialist People's Party,1976,64,Female,1961,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13.0,37.0,40,55000.0,,54.0
100626,120.0,8.0,Yes,Socialdemokratiet - The Social democrats,1990,62,Male,1971,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",15.0,37.0,40,36500.0,,58.0
100785,60.0,5.0,Yes,Dansk Folkeparti - Danish People's Party,1981,Never too young,Female,1970,Folkeskole 9.-10. klasse,17.0,,40,,,59.0
100938,90.0,8.0,Yes,Det Radikale Venstre - The Radical Liberal Party,1988,60,Female,1972,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",20.0,37.0,42,70000.0,,60.0
100939,60.0,9.0,Yes,Dansk Folkeparti - Danish People's Party,1969,Never too young,Male,1955,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",12.0,50.0,50,30000.0,,68.0
101085,540.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",2002,50,Male,1981,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",19.0,37.0,37,39600.0,42000.0,63.0
101212,210.0,5.0,Not eligible to vote,,2008,,Male,1989,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",18.0,5.0,5,,,65.0
101241,30.0,5.0,Yes,Dansk Folkeparti - Danish People's Party,1986,60,Female,1969,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14.0,32.0,32,19000.0,20000.0,133.0
101251,60.0,7.0,Yes,Dansk Folkeparti - Danish People's Party,1969,55,Male,1954,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11.0,37.0,50,38000.0,,35.0
101278,270.0,5.0,Not eligible to vote,,"Still in parental home, never left 2 months",,Female,1998,Folkeskole 9.-10. klasse,13.0,7.0,11,5000.0,,55.0
