Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
2021-09-01 10:30:00,2021-09-01 10:30:00,18040,-5,-0.00027708506511499,18055,18015,18080,709
2021-09-01 10:00:00,2021-09-01 10:00:00,18045,35,0.00194336479733481,18025,17985,18120,1144
2021-09-01 09:30:00,2021-09-01 09:30:00,18010,140,0.00783435926133184,17975,17920,18080,2030
2021-08-31 17:00:00,2021-08-31 17:00:00,17870,80,0.00449690837549185,17790,17500,17870,55188
2021-08-31 16:30:00,2021-08-31 16:30:00,17790,-45,-0.00252312867956266,17835,17790,17880,2051
2021-08-31 16:00:00,2021-08-31 16:00:00,17835,-230,-0.0127318018267368,18060,17795,18090,2066
2021-08-31 15:30:00,2021-08-31 15:30:00,18065,65,0.00361111111111111,17995,17995,18100,765
2021-08-31 15:00:00,2021-08-31 15:00:00,18000,10,0.000555864369093941,17995,17980,18015,959
2021-08-31 14:30:00,2021-08-31 14:30:00,17990,-105,-0.00580270793036751,18090,17990,18105,956
2021-08-31 14:00:00,2021-08-31 14:00:00,18095,-15,-0.00082827167310878,18120,18065,18145,932
2021-08-31 13:30:00,2021-08-31 13:30:00,18110,10,0.000552486187845304,18110,18070,18130,838
2021-08-31 13:00:00,2021-08-31 13:00:00,18100,-85,-0.00467418201814682,18180,18085,18220,960
2021-08-31 12:30:00,2021-08-31 12:30:00,18185,-115,-0.00628415300546448,18295,18175,18315,738
2021-08-31 12:00:00,2021-08-31 12:00:00,18300,-80,-0.0043525571273123,18375,18280,18375,909
2021-08-31 11:30:00,2021-08-31 11:30:00,18380,70,0.00382304751501912,18305,18265,18380,1140
2021-08-31 11:00:00,2021-08-31 11:00:00,18310,-170,-0.0091991341991342,18480,18305,18480,1439
2021-08-31 10:30:00,2021-08-31 10:30:00,18480,-10,-0.000540832882639265,18470,18430,18510,800
2021-08-31 10:00:00,2021-08-31 10:00:00,18490,5,0.000270489586150933,18490,18420,18545,1478
2021-08-31 09:30:00,2021-08-31 09:30:00,18485,175,0.00955761878754779,18400,18245,18540,2428
2021-08-30 17:00:00,2021-08-30 17:00:00,18310,0,0,18305,17995,18345,4709
2021-08-30 16:30:00,2021-08-30 16:30:00,18310,45,0.00246372844237613,18260,18240,18335,1019
2021-08-30 16:00:00,2021-08-30 16:00:00,18265,50,0.00274499039253363,18210,18195,18265,772
2021-08-30 15:30:00,2021-08-30 15:30:00,18215,-50,-0.00273747604708459,18260,18210,18285,581
2021-08-30 15:00:00,2021-08-30 15:00:00,18265,40,0.00219478737997257,18225,18210,18270,489
2021-08-30 14:30:00,2021-08-30 14:30:00,18225,40,0.00219961506736321,18190,18180,18240,619
2021-08-30 14:00:00,2021-08-30 14:00:00,18185,-45,-0.00246845858475041,18225,18175,18230,378
2021-08-30 13:30:00,2021-08-30 13:30:00,18230,35,0.00192360538609508,18195,18195,18235,373
2021-08-30 13:00:00,2021-08-30 13:00:00,18195,-45,-0.00246710526315789,18235,18175,18250,331
2021-08-30 12:30:00,2021-08-30 12:30:00,18240,0,0,18245,18205,18250,176
2021-08-30 12:00:00,2021-08-30 12:00:00,18240,40,0.0021978021978022,18200,18185,18240,185
2021-08-30 11:30:00,2021-08-30 11:30:00,18200,-40,-0.00219298245614035,18245,18180,18280,716
2021-08-30 11:00:00,2021-08-30 11:00:00,18240,55,0.00302447071762442,18190,18155,18255,614
2021-08-30 10:30:00,2021-08-30 10:30:00,18185,-60,-0.00328857221156481,18240,18185,18240,458
2021-08-30 10:00:00,2021-08-30 10:00:00,18245,35,0.00192202086765513,18210,18195,18280,575
2021-08-30 09:30:00,2021-08-30 09:30:00,18210,155,0.00858487953475492,18080,18015,18240,1680
2021-08-27 17:00:00,2021-08-27 17:00:00,18055,35,0.00194228634850166,18015,18010,18100,4406
2021-08-27 16:30:00,2021-08-27 16:30:00,18020,15,0.000833101916134407,18005,17905,18035,1579
2021-08-27 16:00:00,2021-08-27 16:00:00,18005,130,0.00727272727272727,17875,17870,18030,930
2021-08-27 15:30:00,2021-08-27 15:30:00,17875,75,0.00421348314606742,17805,17805,17885,506
2021-08-27 15:00:00,2021-08-27 15:00:00,17800,-15,-0.000841987089531294,17815,17790,17845,672
2021-08-27 14:30:00,2021-08-27 14:30:00,17815,-35,-0.00196078431372549,17855,17810,17870,588
2021-08-27 14:00:00,2021-08-27 14:00:00,17850,15,0.000841042893187553,17830,17810,17860,577
2021-08-27 13:30:00,2021-08-27 13:30:00,17835,-45,-0.00251677852348993,17880,17800,17880,689
2021-08-27 13:00:00,2021-08-27 13:00:00,17880,10,0.000559597090095132,17860,17835,17910,636
2021-08-27 12:30:00,2021-08-27 12:30:00,17870,40,0.00224340998317443,17825,17810,17870,468
2021-08-27 12:00:00,2021-08-27 12:00:00,17830,-20,-0.00112044817927171,17855,17830,17905,622
2021-08-27 11:30:00,2021-08-27 11:30:00,17850,-35,-0.00195694716242661,17885,17830,17890,508
2021-08-27 11:00:00,2021-08-27 11:00:00,17885,5,0.000279642058165548,17885,17875,17920,465
